Dates,Month,Day,Year,Power_House,Spillway,Total_Q
10/12/2013,10,12,2013,224,0,224
13/10/2013,10,13,2013,227,0,227
14/10/2013,10,14,2013,115,0,115
15/10/2013,10,15,2013,223,0,223
16/10/2013,10,16,2013,234,0,234
17/10/2013,10,17,2013,239,0,239
18/10/2013,10,18,2013,236,0,236
19/10/2013,10,19,2013,242,0,242
20/10/2013,10,20,2013,223,0,223
21/10/2013,10,21,2013,218,0,218
22/10/2013,10,22,2013,237,0,237
23/10/2013,10,23,2013,236,0,236
24/10/2013,10,24,2013,237,0,237
25/10/2013,10,25,2013,241,0,241
26/10/2013,10,26,2013,246,0,246
27/10/2013,10,27,2013,169,0,169
28/10/2013,10,28,2013,241,0,241
29/10/2013,10,29,2013,235,0,235
30/10/2013,10,30,2013,215,0,215
31/10/2013,10,31,2013,233,0,233
11/01/2013,11,1,2013,236,0,236
11/02/2013,11,2,2013,236,0,236
11/03/2013,11,3,2013,236,0,236
11/04/2013,11,4,2013,246,0,246
11/05/2013,11,5,2013,237,0,237
11/06/2013,11,6,2013,247,0,247
11/07/2013,11,7,2013,238,0,238
11/08/2013,11,8,2013,238,0,238
11/09/2013,11,9,2013,241,0,241
11/10/2013,11,10,2013,240,0,240
11/11/2013,11,11,2013,243,0,243
11/12/2013,11,12,2013,249,0,249
13/11/2013,11,13,2013,249,0,249
14/11/2013,11,14,2013,243,0,243
15/11/2013,11,15,2013,234,0,234
16/11/2013,11,16,2013,241,0,241
17/11/2013,11,17,2013,240,0,240
18/11/2013,11,18,2013,240,0,240
19/11/2013,11,19,2013,247,0,247
20/11/2013,11,20,2013,240,0,240
21/11/2013,11,21,2013,232,0,232
22/11/2013,11,22,2013,239,0,239
23/11/2013,11,23,2013,233,0,233
24/11/2013,11,24,2013,238,0,238
25/11/2013,11,25,2013,236,0,236
26/11/2013,11,26,2013,246,0,246
27/11/2013,11,27,2013,248,0,248
28/11/2013,11,28,2013,250,0,250
29/11/2013,11,29,2013,235,0,235
30/11/2013,11,30,2013,236,0,236
12/01/2013,12,1,2013,235,0,235
12/02/2013,12,2,2013,247,0,247
12/03/2013,12,3,2013,246,0,246
12/04/2013,12,4,2013,255,0,255
12/05/2013,12,5,2013,253,0,253
12/06/2013,12,6,2013,245,0,245
12/07/2013,12,7,2013,252,0,252
12/08/2013,12,8,2013,254,0,254
12/09/2013,12,9,2013,253,0,253
12/10/2013,12,10,2013,253,0,253
12/11/2013,12,11,2013,250,0,250
12/12/2013,12,12,2013,243,0,243
13/12/2013,12,13,2013,254,0,254
14/12/2013,12,14,2013,252,0,252
15/12/2013,12,15,2013,255,0,255
16/12/2013,12,16,2013,258,0,258
17/12/2013,12,17,2013,264,0,264
18/12/2013,12,18,2013,265,0,265
19/12/2013,12,19,2013,257,0,257
20/12/2013,12,20,2013,259,0,259
21/12/2013,12,21,2013,259,0,259
22/12/2013,12,22,2013,249,0,249
23/12/2013,12,23,2013,259,0,259
24/12/2013,12,24,2013,247,0,247
25/12/2013,12,25,2013,234,0,234
26/12/2013,12,26,2013,234,0,234
27/12/2013,12,27,2013,246,0,246
28/12/2013,12,28,2013,253,0,253
29/12/2013,12,29,2013,257,0,257
30/12/2013,12,30,2013,256,0,256
31/12/2013,12,31,2013,255,0,255
